ID,UPA,EventDate,Employer,Address1,Address2,City,State,Zip,Latitude,Longitude,Primary NAICS,Hospitalized,Amputation,Loss of Eye,Inspection,Final Narrative,Nature,NatureTitle,Part of Body,Part of Body Title,Event,EventTitle,Source,SourceTitle,Secondary Source,Secondary Source Title,FederalState
SYN-SI-0011,SYN-UPA-11,2026-03-05,Synthetic Site E,111 Synthetic Industrial Road,Unit 11,Tinsukia,Assam,786125,26.087,94.053,211120,Yes,No,Yes,SYN-INSP-0011,"During planned maintenance involving pipeline maintenance, stored pressure was present. The worker entered the affected area before precautions were verified and sustained chemical burn. The equipment was taken out of service.",4,Chemical burn,4,Eye,3,Caught in/between,12,Pipeline,1,Energy Isolation related control,State
SYN-SI-0012,SYN-UPA-12,2026-04-08,Synthetic Plant West,112 Synthetic Industrial Road,Unit 12,Vadodara,Gujarat,390001,26.004,94.076,211120,Yes,No,No,SYN-INSP-0012,"During valve maintenance, a worker was exposed to unexpected release. The required energy isolation control was not fully established before the task. The employee sustained traumatic injury and received medical attention. The event was reported to site HSE.",5,Traumatic injury,5,Head,4,Exposure to harmful substance,13,Process valve,2,Energy Isolation related control,State
SYN-SI-0013,SYN-UPA-01,2026-05-11,Synthetic Site A,113 Synthetic Industrial Road,Unit 13,Duliajan,Assam,786602,26.021,94.099,211120,Yes,No,No,SYN-INSP-0013,A worker was performing chemical transfer when toxic chemical exposure caused an unexpected event. The worker was within the hazard zone and sustained fracture. Work was stopped and the area was secured.,6,Fracture,6,Arm,5,Exposure to harmful substance,14,Chemical container / line,3,Hazardous Substances related control,State
SYN-SI-0014,SYN-UPA-02,2026-06-14,Synthetic Site B,114 Synthetic Industrial Road,Unit 14,Guwahati,Assam,781001,26.038,94.022,211120,Yes,No,No,SYN-INSP-0014,"While carrying out grinding, the employee encountered flying particles. A safety control was missing or not followed, resulting in respiratory impairment. The supervisor initiated the incident response.",7,Respiratory impairment,7,Chest,6,Struck by object,15,Grinding equipment,4,Line of Fire related control,State
SYN-SI-0015,SYN-UPA-03,2026-07-17,Synthetic Site C,115 Synthetic Industrial Road,Unit 15,Jorhat,Assam,785001,26.055,94.045,211120,Yes,No,No,SYN-INSP-0015,"During planned maintenance involving welding, arc flash / fire was present. The worker entered the affected area before precautions were verified and sustained burn. The equipment was taken out of service.",8,Burn,8,Arm,7,Fire or explosion,1,Welding equipment,5,Hot Work related control,State
SYN-SI-0016,SYN-UPA-04,2026-08-20,Synthetic Site D,116 Synthetic Industrial Road,Unit 16,Digboi,Assam,786171,26.072,94.068,211120,Yes,No,No,SYN-INSP-0016,"During confined space entry, a worker was exposed to toxic gas / oxygen deficiency. The required confined space control was not fully established before the task. The employee sustained multiple injuries and received medical attention. The event was reported to site HSE.",1,Multiple injuries,1,Multiple body parts,8,Exposure to harmful substance,2,Vessel / confined space,6,Confined Space related control,State
SYN-SI-0017,SYN-UPA-05,2026-01-23,Synthetic Site E,117 Synthetic Industrial Road,Unit 17,Tinsukia,Assam,786125,26.089,94.091,211120,Yes,Yes,No,SYN-INSP-0017,A worker was performing electrical maintenance when unexpected electrical energy caused an unexpected event. The worker was within the hazard zone and sustained amputation. Work was stopped and the area was secured.,2,Amputation,2,Hand,9,Contact with electrical energy,3,Electrical equipment,7,Energy Isolation related control,State
SYN-SI-0018,SYN-UPA-06,2026-02-26,Synthetic Plant West,118 Synthetic Industrial Road,Unit 18,Vadodara,Gujarat,390001,26.006,94.014,211120,Yes,No,No,SYN-INSP-0018,"While carrying out pump maintenance, the employee encountered stored mechanical energy. A safety control was missing or not followed, resulting in laceration. The supervisor initiated the incident response.",3,Laceration,3,Hand,1,Caught in/between,4,Pump / rotating equipment,8,Energy Isolation related control,State
SYN-SI-0019,SYN-UPA-07,2026-03-01,Synthetic Site A,119 Synthetic Industrial Road,Unit 19,Duliajan,Assam,786602,26.023,94.037,211120,Yes,No,Yes,SYN-INSP-0019,"During planned maintenance involving hot work, flammable vapor was present. The worker entered the affected area before precautions were verified and sustained chemical burn. The equipment was taken out of service.",4,Chemical burn,4,Eye,2,Fire or explosion,5,Welding / cutting equipment,9,Hot Work related control,State
SYN-SI-0020,SYN-UPA-08,2026-04-04,Synthetic Site B,120 Synthetic Industrial Road,Unit 20,Guwahati,Assam,781001,26.04,94.06,211120,Yes,No,No,SYN-INSP-0020,"During scaffolding, a worker was exposed to fall from elevation. The required work at height control was not fully established before the task. The employee sustained traumatic injury and received medical attention. The event was reported to site HSE.",5,Traumatic injury,5,Head,3,Fall from elevation,6,Scaffold,10,Work at Height related control,State
SYN-SI-0021,SYN-UPA-09,2026-05-07,Synthetic Site C,121 Synthetic Industrial Road,Unit 1,Jorhat,Assam,785001,26.057,94.083,211120,Yes,No,No,SYN-INSP-0021,A worker was performing roof maintenance when fall from elevation caused an unexpected event. The worker was within the hazard zone and sustained fracture. Work was stopped and the area was secured.,6,Fracture,6,Arm,4,Fall from elevation,7,Roof / elevated surface,11,Work at Height related control,State
SYN-SI-0022,SYN-UPA-10,2026-06-10,Synthetic Site D,122 Synthetic Industrial Road,Unit 2,Digboi,Assam,786171,26.074,94.006,211120,Yes,No,No,SYN-INSP-0022,"While carrying out crane lifting, the employee encountered suspended load. A safety control was missing or not followed, resulting in respiratory impairment. The supervisor initiated the incident response.",7,Respiratory impairment,7,Chest,5,Struck by object,8,Crane / lifting equipment,12,Safe Mechanical Lifting related control,State
SYN-SI-0023,SYN-UPA-11,2026-07-13,Synthetic Site E,123 Synthetic Industrial Road,Unit 3,Tinsukia,Assam,786125,26.091,94.029,211120,Yes,No,No,SYN-INSP-0023,"During planned maintenance involving material handling, struck-by moving object was present. The worker entered the affected area before precautions were verified and sustained burn. The equipment was taken out of service.",8,Burn,8,Arm,6,Struck by object,9,Material / equipment,13,Line of Fire related control,State
SYN-SI-0024,SYN-UPA-12,2026-08-16,Synthetic Plant West,124 Synthetic Industrial Road,Unit 4,Vadodara,Gujarat,390001,26.008,94.052,211120,Yes,No,No,SYN-INSP-0024,"During forklift operation, a worker was exposed to vehicle-pedestrian interaction. The required driving control was not fully established before the task. The employee sustained multiple injuries and received medical attention. The event was reported to site HSE.",1,Multiple injuries,1,Multiple body parts,7,Vehicle incident,10,Powered industrial truck,14,Driving related control,State
SYN-SI-0025,SYN-UPA-01,2026-01-19,Synthetic Site A,125 Synthetic Industrial Road,Unit 5,Duliajan,Assam,786602,26.025,94.075,211120,Yes,Yes,No,SYN-INSP-0025,A worker was performing excavation when cave-in caused an unexpected event. The worker was within the hazard zone and sustained amputation. Work was stopped and the area was secured.,2,Amputation,2,Hand,8,Cave-in,11,Excavation / soil,15,Excavation related control,State
SYN-SI-0026,SYN-UPA-02,2026-02-22,Synthetic Site B,126 Synthetic Industrial Road,Unit 6,Guwahati,Assam,781001,26.042,94.098,211120,Yes,No,No,SYN-INSP-0026,"While carrying out pipeline maintenance, the employee encountered stored pressure. A safety control was missing or not followed, resulting in laceration. The supervisor initiated the incident response.",3,Laceration,3,Hand,9,Caught in/between,12,Pipeline,1,Energy Isolation related control,State
SYN-SI-0027,SYN-UPA-03,2026-03-25,Synthetic Site C,127 Synthetic Industrial Road,Unit 7,Jorhat,Assam,785001,26.059,94.021,211120,Yes,No,Yes,SYN-INSP-0027,"During planned maintenance involving valve maintenance, unexpected release was present. The worker entered the affected area before precautions were verified and sustained chemical burn. The equipment was taken out of service.",4,Chemical burn,4,Eye,1,Exposure to harmful substance,13,Process valve,2,Energy Isolation related control,State
SYN-SI-0028,SYN-UPA-04,2026-04-28,Synthetic Site D,128 Synthetic Industrial Road,Unit 8,Digboi,Assam,786171,26.076,94.044,211120,Yes,No,No,SYN-INSP-0028,"During chemical transfer, a worker was exposed to toxic chemical exposure. The required hazardous substances control was not fully established before the task. The employee sustained traumatic injury and received medical attention. The event was reported to site HSE.",5,Traumatic injury,5,Head,2,Exposure to harmful substance,14,Chemical container / line,3,Hazardous Substances related control,State
SYN-SI-0029,SYN-UPA-05,2026-05-03,Synthetic Site E,129 Synthetic Industrial Road,Unit 9,Tinsukia,Assam,786125,26.093,94.067,211120,Yes,No,No,SYN-INSP-0029,A worker was performing grinding when flying particles caused an unexpected event. The worker was within the hazard zone and sustained fracture. Work was stopped and the area was secured.,6,Fracture,6,Arm,3,Struck by object,15,Grinding equipment,4,Line of Fire related control,State
SYN-SI-0030,SYN-UPA-06,2026-06-06,Synthetic Plant West,130 Synthetic Industrial Road,Unit 10,Vadodara,Gujarat,390001,26.01,94.09,211120,Yes,No,No,SYN-INSP-0030,"While carrying out welding, the employee encountered arc flash / fire. A safety control was missing or not followed, resulting in respiratory impairment. The supervisor initiated the incident response.",7,Respiratory impairment,7,Chest,4,Fire or explosion,1,Welding equipment,5,Hot Work related control,State
SYN-SI-0031,SYN-UPA-07,2026-07-09,Synthetic Site A,131 Synthetic Industrial Road,Unit 11,Duliajan,Assam,786602,26.027,94.013,211120,Yes,No,No,SYN-INSP-0031,"During planned maintenance involving confined space entry, toxic gas / oxygen deficiency was present. The worker entered the affected area before precautions were verified and sustained burn. The equipment was taken out of service.",8,Burn,8,Arm,5,Exposure to harmful substance,2,Vessel / confined space,6,Confined Space related control,State
SYN-SI-0032,SYN-UPA-08,2026-08-12,Synthetic Site B,132 Synthetic Industrial Road,Unit 12,Guwahati,Assam,781001,26.044,94.036,211120,Yes,No,No,SYN-INSP-0032,"During electrical maintenance, a worker was exposed to unexpected electrical energy. The required energy isolation control was not fully established before the task. The employee sustained multiple injuries and received medical attention. The event was reported to site HSE.",1,Multiple injuries,1,Multiple body parts,6,Contact with electrical energy,3,Electrical equipment,7,Energy Isolation related control,State
SYN-SI-0033,SYN-UPA-09,2026-01-15,Synthetic Site C,133 Synthetic Industrial Road,Unit 13,Jorhat,Assam,785001,26.061,94.059,211120,Yes,Yes,No,SYN-INSP-0033,A worker was performing pump maintenance when stored mechanical energy caused an unexpected event. The worker was within the hazard zone and sustained amputation. Work was stopped and the area was secured.,2,Amputation,2,Hand,7,Caught in/between,4,Pump / rotating equipment,8,Energy Isolation related control,State
SYN-SI-0034,SYN-UPA-10,2026-02-18,Synthetic Site D,134 Synthetic Industrial Road,Unit 14,Digboi,Assam,786171,26.078,94.082,211120,Yes,No,No,SYN-INSP-0034,"While carrying out hot work, the employee encountered flammable vapor. A safety control was missing or not followed, resulting in laceration. The supervisor initiated the incident response.",3,Laceration,3,Hand,8,Fire or explosion,5,Welding / cutting equipment,9,Hot Work related control,State
SYN-SI-0035,SYN-UPA-11,2026-03-21,Synthetic Site E,135 Synthetic Industrial Road,Unit 15,Tinsukia,Assam,786125,26.095,94.005,211120,Yes,No,Yes,SYN-INSP-0035,"During planned maintenance involving scaffolding, fall from elevation was present. The worker entered the affected area before precautions were verified and sustained chemical burn. The equipment was taken out of service.",4,Chemical burn,4,Eye,9,Fall from elevation,6,Scaffold,10,Work at Height related control,State
SYN-SI-0036,SYN-UPA-12,2026-04-24,Synthetic Plant West,136 Synthetic Industrial Road,Unit 16,Vadodara,Gujarat,390001,26.012,94.028,211120,Yes,No,No,SYN-INSP-0036,"During roof maintenance, a worker was exposed to fall from elevation. The required work at height control was not fully established before the task. The employee sustained traumatic injury and received medical attention. The event was reported to site HSE.",5,Traumatic injury,5,Head,1,Fall from elevation,7,Roof / elevated surface,11,Work at Height related control,State
SYN-SI-0037,SYN-UPA-01,2026-05-27,Synthetic Site A,137 Synthetic Industrial Road,Unit 17,Duliajan,Assam,786602,26.029,94.051,211120,Yes,No,No,SYN-INSP-0037,A worker was performing crane lifting when suspended load caused an unexpected event. The worker was within the hazard zone and sustained fracture. Work was stopped and the area was secured.,6,Fracture,6,Arm,2,Struck by object,8,Crane / lifting equipment,12,Safe Mechanical Lifting related control,State
SYN-SI-0038,SYN-UPA-02,2026-06-02,Synthetic Site B,138 Synthetic Industrial Road,Unit 18,Guwahati,Assam,781001,26.046,94.074,211120,Yes,No,No,SYN-INSP-0038,"While carrying out material handling, the employee encountered struck-by moving object. A safety control was missing or not followed, resulting in respiratory impairment. The supervisor initiated the incident response.",7,Respiratory impairment,7,Chest,3,Struck by object,9,Material / equipment,13,Line of Fire related control,State
SYN-SI-0039,SYN-UPA-03,2026-07-05,Synthetic Site C,139 Synthetic Industrial Road,Unit 19,Jorhat,Assam,785001,26.063,94.097,211120,Yes,No,No,SYN-INSP-0039,"During planned maintenance involving forklift operation, vehicle-pedestrian interaction was present. The worker entered the affected area before precautions were verified and sustained burn. The equipment was taken out of service.",8,Burn,8,Arm,4,Vehicle incident,10,Powered industrial truck,14,Driving related control,State
SYN-SI-0040,SYN-UPA-04,2026-08-08,Synthetic Site D,140 Synthetic Industrial Road,Unit 20,Digboi,Assam,786171,26.08,94.02,211120,Yes,No,No,SYN-INSP-0040,"During excavation, a worker was exposed to cave-in. The required excavation control was not fully established before the task. The employee sustained multiple injuries and received medical attention. The event was reported to site HSE.",1,Multiple injuries,1,Multiple body parts,5,Cave-in,11,Excavation / soil,15,Excavation related control,State
SYN-SI-0041,SYN-UPA-05,2026-01-11,Synthetic Site E,141 Synthetic Industrial Road,Unit 1,Tinsukia,Assam,786125,26.097,94.043,211120,Yes,Yes,No,SYN-INSP-0041,A worker was performing pipeline maintenance when stored pressure caused an unexpected event. The worker was within the hazard zone and sustained amputation. Work was stopped and the area was secured.,2,Amputation,2,Hand,6,Caught in/between,12,Pipeline,1,Energy Isolation related control,State
SYN-SI-0042,SYN-UPA-06,2026-02-14,Synthetic Plant West,142 Synthetic Industrial Road,Unit 2,Vadodara,Gujarat,390001,26.014,94.066,211120,Yes,No,No,SYN-INSP-0042,"While carrying out valve maintenance, the employee encountered unexpected release. A safety control was missing or not followed, resulting in laceration. The supervisor initiated the incident response.",3,Laceration,3,Hand,7,Exposure to harmful substance,13,Process valve,2,Energy Isolation related control,State
SYN-SI-0043,SYN-UPA-07,2026-03-17,Synthetic Site A,143 Synthetic Industrial Road,Unit 3,Duliajan,Assam,786602,26.031,94.089,211120,Yes,No,Yes,SYN-INSP-0043,"During planned maintenance involving chemical transfer, toxic chemical exposure was present. The worker entered the affected area before precautions were verified and sustained chemical burn. The equipment was taken out of service.",4,Chemical burn,4,Eye,8,Exposure to harmful substance,14,Chemical container / line,3,Hazardous Substances related control,State
SYN-SI-0044,SYN-UPA-08,2026-04-20,Synthetic Site B,144 Synthetic Industrial Road,Unit 4,Guwahati,Assam,781001,26.048,94.012,211120,Yes,No,No,SYN-INSP-0044,"During grinding, a worker was exposed to flying particles. The required line of fire control was not fully established before the task. The employee sustained traumatic injury and received medical attention. The event was reported to site HSE.",5,Traumatic injury,5,Head,9,Struck by object,15,Grinding equipment,4,Line of Fire related control,State
SYN-SI-0045,SYN-UPA-09,2026-05-23,Synthetic Site C,145 Synthetic Industrial Road,Unit 5,Jorhat,Assam,785001,26.065,94.035,211120,Yes,No,No,SYN-INSP-0045,A worker was performing welding when arc flash / fire caused an unexpected event. The worker was within the hazard zone and sustained fracture. Work was stopped and the area was secured.,6,Fracture,6,Arm,1,Fire or explosion,1,Welding equipment,5,Hot Work related control,State
SYN-SI-0046,SYN-UPA-10,2026-06-26,Synthetic Site D,146 Synthetic Industrial Road,Unit 6,Digboi,Assam,786171,26.082,94.058,211120,Yes,No,No,SYN-INSP-0046,"While carrying out confined space entry, the employee encountered toxic gas / oxygen deficiency. A safety control was missing or not followed, resulting in respiratory impairment. The supervisor initiated the incident response.",7,Respiratory impairment,7,Chest,2,Exposure to harmful substance,2,Vessel / confined space,6,Confined Space related control,State
SYN-SI-0047,SYN-UPA-11,2026-07-01,Synthetic Site E,147 Synthetic Industrial Road,Unit 7,Tinsukia,Assam,786125,26.099,94.081,211120,Yes,No,No,SYN-INSP-0047,"During planned maintenance involving electrical maintenance, unexpected electrical energy was present. The worker entered the affected area before precautions were verified and sustained burn. The equipment was taken out of service.",8,Burn,8,Arm,3,Contact with electrical energy,3,Electrical equipment,7,Energy Isolation related control,State
SYN-SI-0048,SYN-UPA-12,2026-08-04,Synthetic Plant West,148 Synthetic Industrial Road,Unit 8,Vadodara,Gujarat,390001,26.016,94.004,211120,Yes,No,No,SYN-INSP-0048,"During pump maintenance, a worker was exposed to stored mechanical energy. The required energy isolation control was not fully established before the task. The employee sustained multiple injuries and received medical attention. The event was reported to site HSE.",1,Multiple injuries,1,Multiple body parts,4,Caught in/between,4,Pump / rotating equipment,8,Energy Isolation related control,State
SYN-SI-0049,SYN-UPA-01,2026-01-07,Synthetic Site A,149 Synthetic Industrial Road,Unit 9,Duliajan,Assam,786602,26.033,94.027,211120,Yes,Yes,No,SYN-INSP-0049,A worker was performing hot work when flammable vapor caused an unexpected event. The worker was within the hazard zone and sustained amputation. Work was stopped and the area was secured.,2,Amputation,2,Hand,5,Fire or explosion,5,Welding / cutting equipment,9,Hot Work related control,State
SYN-SI-0050,SYN-UPA-02,2026-02-10,Synthetic Site B,150 Synthetic Industrial Road,Unit 10,Guwahati,Assam,781001,26.05,94.05,211120,Yes,No,No,SYN-INSP-0050,"While carrying out scaffolding, the employee encountered fall from elevation. A safety control was missing or not followed, resulting in laceration. The supervisor initiated the incident response.",3,Laceration,3,Hand,6,Fall from elevation,6,Scaffold,10,Work at Height related control,State
SYN-SI-0051,SYN-UPA-03,2026-03-13,Synthetic Site C,151 Synthetic Industrial Road,Unit 11,Jorhat,Assam,785001,26.067,94.073,211120,Yes,No,Yes,SYN-INSP-0051,"During planned maintenance involving roof maintenance, fall from elevation was present. The worker entered the affected area before precautions were verified and sustained chemical burn. The equipment was taken out of service.",4,Chemical burn,4,Eye,7,Fall from elevation,7,Roof / elevated surface,11,Work at Height related control,State
SYN-SI-0052,SYN-UPA-04,2026-04-16,Synthetic Site D,152 Synthetic Industrial Road,Unit 12,Digboi,Assam,786171,26.084,94.096,211120,Yes,No,No,SYN-INSP-0052,"During crane lifting, a worker was exposed to suspended load. The required safe mechanical lifting control was not fully established before the task. The employee sustained traumatic injury and received medical attention. The event was reported to site HSE.",5,Traumatic injury,5,Head,8,Struck by object,8,Crane / lifting equipment,12,Safe Mechanical Lifting related control,State
SYN-SI-0053,SYN-UPA-05,2026-05-19,Synthetic Site E,153 Synthetic Industrial Road,Unit 13,Tinsukia,Assam,786125,26.001,94.019,211120,Yes,No,No,SYN-INSP-0053,A worker was performing material handling when struck-by moving object caused an unexpected event. The worker was within the hazard zone and sustained fracture. Work was stopped and the area was secured.,6,Fracture,6,Arm,9,Struck by object,9,Material / equipment,13,Line of Fire related control,State
SYN-SI-0054,SYN-UPA-06,2026-06-22,Synthetic Plant West,154 Synthetic Industrial Road,Unit 14,Vadodara,Gujarat,390001,26.018,94.042,211120,Yes,No,No,SYN-INSP-0054,"While carrying out forklift operation, the employee encountered vehicle-pedestrian interaction. A safety control was missing or not followed, resulting in respiratory impairment. The supervisor initiated the incident response.",7,Respiratory impairment,7,Chest,1,Vehicle incident,10,Powered industrial truck,14,Driving related control,State
SYN-SI-0055,SYN-UPA-07,2026-07-25,Synthetic Site A,155 Synthetic Industrial Road,Unit 15,Duliajan,Assam,786602,26.035,94.065,211120,Yes,No,No,SYN-INSP-0055,"During planned maintenance involving excavation, cave-in was present. The worker entered the affected area before precautions were verified and sustained burn. The equipment was taken out of service.",8,Burn,8,Arm,2,Cave-in,11,Excavation / soil,15,Excavation related control,State
SYN-SI-0056,SYN-UPA-08,2026-08-28,Synthetic Site B,156 Synthetic Industrial Road,Unit 16,Guwahati,Assam,781001,26.052,94.088,211120,Yes,No,No,SYN-INSP-0056,"During pipeline maintenance, a worker was exposed to stored pressure. The required energy isolation control was not fully established before the task. The employee sustained multiple injuries and received medical attention. The event was reported to site HSE.",1,Multiple injuries,1,Multiple body parts,3,Caught in/between,12,Pipeline,1,Energy Isolation related control,State
SYN-SI-0057,SYN-UPA-09,2026-01-03,Synthetic Site C,157 Synthetic Industrial Road,Unit 17,Jorhat,Assam,785001,26.069,94.011,211120,Yes,Yes,No,SYN-INSP-0057,A worker was performing valve maintenance when unexpected release caused an unexpected event. The worker was within the hazard zone and sustained amputation. Work was stopped and the area was secured.,2,Amputation,2,Hand,4,Exposure to harmful substance,13,Process valve,2,Energy Isolation related control,State
SYN-SI-0058,SYN-UPA-10,2026-02-06,Synthetic Site D,158 Synthetic Industrial Road,Unit 18,Digboi,Assam,786171,26.086,94.034,211120,Yes,No,No,SYN-INSP-0058,"While carrying out chemical transfer, the employee encountered toxic chemical exposure. A safety control was missing or not followed, resulting in laceration. The supervisor initiated the incident response.",3,Laceration,3,Hand,5,Exposure to harmful substance,14,Chemical container / line,3,Hazardous Substances related control,State
SYN-SI-0059,SYN-UPA-11,2026-03-09,Synthetic Site E,159 Synthetic Industrial Road,Unit 19,Tinsukia,Assam,786125,26.003,94.057,211120,Yes,No,Yes,SYN-INSP-0059,"During planned maintenance involving grinding, flying particles was present. The worker entered the affected area before precautions were verified and sustained chemical burn. The equipment was taken out of service.",4,Chemical burn,4,Eye,6,Struck by object,15,Grinding equipment,4,Line of Fire related control,State
SYN-SI-0060,SYN-UPA-12,2026-04-12,Synthetic Plant West,160 Synthetic Industrial Road,Unit 20,Vadodara,Gujarat,390001,26.02,94.08,211120,Yes,No,No,SYN-INSP-0060,"During welding, a worker was exposed to arc flash / fire. The required hot work control was not fully established before the task. The employee sustained traumatic injury and received medical attention. The event was reported to site HSE.",5,Traumatic injury,5,Head,7,Fire or explosion,1,Welding equipment,5,Hot Work related control,State
SYN-SI-0061,SYN-UPA-01,2026-05-15,Synthetic Site A,161 Synthetic Industrial Road,Unit 1,Duliajan,Assam,786602,26.037,94.003,211120,Yes,No,No,SYN-INSP-0061,A worker was performing confined space entry when toxic gas / oxygen deficiency caused an unexpected event. The worker was within the hazard zone and sustained fracture. Work was stopped and the area was secured.,6,Fracture,6,Arm,8,Exposure to harmful substance,2,Vessel / confined space,6,Confined Space related control,State
SYN-SI-0062,SYN-UPA-02,2026-06-18,Synthetic Site B,162 Synthetic Industrial Road,Unit 2,Guwahati,Assam,781001,26.054,94.026,211120,Yes,No,No,SYN-INSP-0062,"While carrying out electrical maintenance, the employee encountered unexpected electrical energy. A safety control was missing or not followed, resulting in respiratory impairment. The supervisor initiated the incident response.",7,Respiratory impairment,7,Chest,9,Contact with electrical energy,3,Electrical equipment,7,Energy Isolation related control,State
SYN-SI-0063,SYN-UPA-03,2026-07-21,Synthetic Site C,163 Synthetic Industrial Road,Unit 3,Jorhat,Assam,785001,26.071,94.049,211120,Yes,No,No,SYN-INSP-0063,"During planned maintenance involving pump maintenance, stored mechanical energy was present. The worker entered the affected area before precautions were verified and sustained burn. The equipment was taken out of service.",8,Burn,8,Arm,1,Caught in/between,4,Pump / rotating equipment,8,Energy Isolation related control,State
SYN-SI-0064,SYN-UPA-04,2026-08-24,Synthetic Site D,164 Synthetic Industrial Road,Unit 4,Digboi,Assam,786171,26.088,94.072,211120,Yes,No,No,SYN-INSP-0064,"During hot work, a worker was exposed to flammable vapor. The required hot work control was not fully established before the task. The employee sustained multiple injuries and received medical attention. The event was reported to site HSE.",1,Multiple injuries,1,Multiple body parts,2,Fire or explosion,5,Welding / cutting equipment,9,Hot Work related control,State
